,recession_indicator,cli_equal,cli_pca,cli_weighted,recession_prob_cli_equal,recession_prob_cli_weighted,recession_prob_multi
2007-09-01,0.0,0.3079913086903207,-0.920474797187527,0.3688907478760809,0.4079365578461308,0.3948842383466341,0.03884975723031469
2007-10-01,0.0,0.2324793824069069,-0.7777472704005844,0.3890605876648123,0.4251064010750427,0.39061171276765233,0.15569242095806657
2007-11-01,0.0,0.5696449237240886,-1.373495491463669,0.7101957439859987,0.35038851707531515,0.32520163485194536,0.09939181406987171
2007-12-01,0.0,0.2636912908508578,-0.788256435809495,0.3610075464474945,0.41798503667104475,0.3965585313741356,0.20365848609112924
2008-01-01,1.0,0.0460213335885636,-0.1059740890624022,0.1918850386835376,0.46819889553678873,0.43300195500930383,0.5486695915225985
2008-02-01,1.0,0.1797456801013849,-0.3133863409945666,0.2832909028404295,0.4372076528760176,0.4131887337902048,0.28110186432553563
2008-03-01,1.0,0.041541262724184,0.3145834362676828,0.0114849061562855,0.46924279630401017,0.4726809271333048,0.6238787354586566
2008-04-01,1.0,-0.1138215915168454,0.8071597986564157,-0.1165728855444308,0.5055470093845604,0.5010883890243535,0.9357409811241858
2008-05-01,1.0,0.0043018858506409,0.3208007972968684,-0.0530660262854346,0.4779295013901058,0.48698989521942665,0.829651231905548
2008-06-01,1.0,0.2583002036588342,0.1881190325183478,0.3185712591525221,0.41921272317859676,0.4056122578780975,0.9476061809877696
2008-07-01,1.0,0.4790311510492575,0.3570128526116366,0.5033198935470733,0.3699236403806284,0.3667407157078469,0.9530749034610723
2008-08-01,1.0,0.5481793276702218,0.4236960045061329,0.6845016707997609,0.3549739076967622,0.33022944971175827,0.9363581851617894
2008-09-01,1.0,0.631009614131097,0.5096155920365536,0.8221305530790931,0.33743384633573603,0.3037746695304368,0.9830213392048319
2008-10-01,1.0,0.7162552266180745,0.6034965895275127,0.9250463790984664,0.31983821537655344,0.2847958806342578,0.8862119792053252
2008-11-01,1.0,-0.3758471817966187,3.5694293593212785,-0.6295511994031078,0.5664463334621916,0.6130076125776724,0.9915143831749387
2008-12-01,1.0,-0.7494247461884604,4.925787743339558,-1.1096074980710042,0.6495186244975754,0.7081364324632184,0.9933211747359398
2009-01-01,1.0,-0.5270874146675488,5.398614145502723,-0.877455319856807,0.6008198951708734,0.6637736549271841,0.9556480077195574
2009-02-01,1.0,-0.3744103555709738,5.360344240391829,-0.5429311753969441,0.5661161296655125,0.5946055917398854,0.972057899586392
2009-03-01,1.0,-0.5981229088827331,4.334696005631242,-0.7794105944469654,0.6166493745544076,0.6440703691150756,0.9708040577506686
2009-04-01,1.0,-1.281324131748022,3.431483462658995,-1.6894076390452846,0.7529900021733469,0.802393129179703,0.7369838784147287
2009-05-01,1.0,-0.971416608846314,2.88785618203336,-1.1578889253397768,0.6952208440472678,0.7169196671204736,0.9624813312170317
2009-06-01,1.0,-0.5457703796215126,1.0637307607988729,-0.6021862632206323,0.6050051377026741,0.6072261410277545,0.5280854674491435
2009-07-01,0.0,-0.2939583210828276,-1.3028640059829006,-0.2182814660688007,0.5475417458401948,0.5236546847792106,0.005586680913918926
2009-08-01,0.0,-0.443805011312898,-2.228225218832657,-0.4614661001568899,0.5819917289830725,0.577051709864458,0.00042288077199759274
2009-09-01,0.0,0.0629439242408679,-2.6670672384710143,0.1151647946013114,0.46425835124707254,0.4498016916453886,7.064184460075322e-06
2009-10-01,0.0,0.2234976745721399,-3.499942704072436,0.284641311474529,0.4271615929442706,0.4128979504960738,3.708358882585307e-07
2009-11-01,0.0,-0.4828416661704728,-3.2930581116198208,-0.3968702353532441,0.5908503245732546,0.5629907870569363,9.140086541103049e-05
2009-12-01,0.0,-0.450848765864162,-3.218101688835943,-0.5169994787961272,0.5835942626149515,0.5890418318282801,9.635019164734705e-05
2010-01-01,0.0,-0.1971327207483412,-3.393816839138316,-0.2225846526830309,0.5250149276017989,0.5246079634633133,2.79475689861769e-05
2010-02-01,0.0,-0.025121417286271,-3.35325021345277,0.0632615460900975,0.48480269205443927,0.46123485924782287,9.626091151369592e-05
2010-03-01,0.0,-0.005466143855265,-2.682063703326729,0.0679247222999021,0.4802104841633778,0.4602058111002126,0.0003926204359942818
2010-04-01,0.0,0.4357047196757388,-2.3250697874267594,0.4892297394737249,0.3794216391084396,0.3696519572070833,0.0003227343684051857
2010-05-01,0.0,0.6369261940277825,-2.2454051849891883,0.6468075250863324,0.33619723199531243,0.33767596430843744,0.00021015781966460682
2010-06-01,0.0,0.2992198344629105,-1.1132260129517488,0.356745915762267,0.4099203526807788,0.39746466118399165,0.001288206128545028
