,unemployment_rate,housing_starts,consumer_sentiment,industrial_production,recession_indicator,jobless_claims,yield_spread,credit_spread,sp500
1997-02-01,5.2,1486.0,99.7,78.5833,0.0,320750.0,0.5210526315789474,1.5221052631578948,790.8200073242188
1997-03-01,5.2,1457.0,100.0,79.082,0.0,319400.0,0.4725,1.488,757.1199951171875
1997-04-01,5.1,1492.0,101.4,79.1747,0.0,327000.0,0.43727272727272726,1.4513636363636364,801.3400268554688
1997-05-01,4.9,1442.0,103.2,79.6133,0.0,323800.0,0.4342857142857143,1.4919047619047618,848.280029296875
1997-06-01,5.0,1494.0,104.5,79.9792,0.0,325500.0,0.3990476190476191,1.5266666666666668,885.1400146484375
1997-07-01,4.9,1437.0,107.1,80.6624,0.0,320250.0,0.32954545454545453,1.526818181818182,954.3099975585938
1997-08-01,4.8,1390.0,104.4,81.4694,0.0,330200.0,0.3595238095238095,1.518095238095238,899.469970703125
1997-09-01,4.9,1546.0,106.0,82.2156,0.0,315250.0,0.32666666666666666,1.5042857142857142,947.280029296875
1997-10-01,4.7,1520.0,105.6,82.9446,0.0,310000.0,0.25772727272727275,1.5422727272727272,914.6199951171876
1997-11-01,4.6,1510.0,107.2,83.5978,0.0,314600.0,0.1622222222222222,1.5438888888888889,955.4000244140624
1997-12-01,4.7,1566.0,102.1,83.9538,0.0,313250.0,0.09363636363636364,1.5172727272727273,970.4299926757812
1998-01-01,4.6,1525.0,106.6,84.3218,0.0,321200.0,0.1875,1.652,980.280029296875
1998-02-01,4.6,1584.0,110.4,84.4583,0.0,319000.0,0.1568421052631579,1.681578947368421,1049.3399658203125
1998-03-01,4.7,1567.0,106.5,84.488,0.0,315000.0,0.08590909090909092,1.6718181818181819,1101.75
1998-04-01,4.3,1540.0,108.7,84.7779,0.0,311000.0,0.07333333333333333,1.6928571428571426,1111.75
1998-05-01,4.4,1536.0,106.5,85.3367,0.0,311200.0,0.059,1.645,1090.8199462890625
1998-06-01,4.5,1641.0,105.6,84.8248,0.0,338000.0,-0.023636363636363636,1.6377272727272727,1133.8399658203125
1998-07-01,4.5,1698.0,105.2,84.4986,0.0,333000.0,0.0031818181818181815,1.6877272727272725,1120.6700439453125
1998-08-01,4.5,1614.0,104.4,86.248,0.0,312600.0,0.07333333333333333,1.8014285714285714,957.280029296875
1998-09-01,4.6,1582.0,100.9,86.2021,0.0,304000.0,0.14047619047619048,2.281428571428571,1017.010009765625
1998-10-01,4.5,1715.0,97.4,86.7914,0.0,310600.0,0.43809523809523804,2.6523809523809527,1098.6700439453125
1998-11-01,4.4,1660.0,102.7,86.7256,0.0,316000.0,0.28736842105263155,2.5105263157894737,1163.6300048828125
1998-12-01,4.4,1792.0,100.5,87.1185,0.0,316000.0,0.13863636363636364,2.5813636363636365,1229.22998046875
1999-01-01,4.3,1748.0,103.9,87.4949,0.0,326200.0,0.1068421052631579,2.5657894736842106,1279.6400146484375
1999-02-01,4.4,1670.0,108.1,88.027,0.0,301500.0,0.12263157894736842,2.39,1238.3299560546875
1999-03-01,4.2,1710.0,105.7,88.2267,0.0,302750.0,0.17956521739130435,2.301304347826087,1286.3699951171875
1999-04-01,4.3,1553.0,104.6,88.4295,0.0,308500.0,0.20772727272727273,2.2945454545454544,1335.1800537109375
1999-05-01,4.2,1611.0,106.8,88.9886,0.0,301600.0,0.28500000000000003,2.1825,1301.8399658203125
1999-06-01,4.3,1559.0,107.3,88.9188,0.0,294000.0,0.2809090909090909,2.1154545454545453,1372.7099609375
1999-07-01,4.3,1669.0,106.0,89.4333,0.0,298000.0,0.23714285714285716,2.1561904761904764,1328.719970703125
1999-08-01,4.2,1648.0,104.5,89.7924,0.0,290750.0,0.2609090909090909,2.2150000000000003,1320.4100341796875
1999-09-01,4.2,1635.0,107.2,89.4299,0.0,289500.0,0.25333333333333335,2.2871428571428574,1282.7099609375
1999-10-01,4.1,1608.0,103.2,90.523,0.0,290400.0,0.2495,2.266,1362.9300537109375
1999-11-01,4.1,1648.0,107.2,90.9618,0.0,281750.0,0.172,2.1165,1388.9100341796875
1999-12-01,4.0,1708.0,105.4,91.6634,0.0,278500.0,0.1709090909090909,1.9118181818181819,1469.25
2000-01-01,4.0,1636.0,112.0,91.538,0.0,288400.0,0.221,1.6715,1394.4599609375
2000-02-01,4.1,1737.0,111.3,91.8239,0.0,293750.0,-0.091,1.7675,1366.4200439453125
2000-03-01,4.0,1604.0,107.1,92.1504,0.0,274750.0,-0.2717391304347826,2.110869565217391,1498.5799560546875
2000-04-01,3.8,1626.0,109.2,92.6989,0.0,271600.0,-0.4131578947368421,2.411578947368421,1452.4300537109375
2000-05-01,4.0,1575.0,110.7,92.9499,0.0,282250.0,-0.3690909090909091,2.46,1420.5999755859375
2000-06-01,4.0,1559.0,106.4,92.9862,0.0,291000.0,-0.3845454545454546,2.385,1454.5999755859375
2000-07-01,4.0,1463.0,108.3,92.8048,0.0,295000.0,-0.28500000000000003,2.2925,1430.8299560546875
2000-08-01,4.1,1541.0,107.3,92.5521,0.0,312750.0,-0.4026086956521739,2.429130434782609,1517.6800537109375
2000-09-01,3.9,1507.0,106.8,92.9792,0.0,300200.0,-0.28250000000000003,2.5469999999999997,1436.510009765625
2000-10-01,3.9,1549.0,105.8,92.6179,0.0,301000.0,-0.1738095238095238,2.602857142857143,1429.4000244140625
2000-11-01,3.9,1551.0,107.6,92.6438,0.0,334250.0,-0.15809523809523812,2.5619047619047617,1314.949951171875
2000-12-01,3.9,1532.0,98.4,92.3415,0.0,346000.0,-0.1115,2.7824999999999998,1320.280029296875
2001-01-01,4.2,1600.0,94.7,91.902,0.0,340000.0,0.40095238095238095,2.7676190476190476,1366.010009765625
2001-02-01,4.2,1625.0,90.6,91.3034,0.0,371250.0,0.4421052631578948,2.774736842105263,1239.93994140625
2001-03-01,4.3,1590.0,91.5,91.1162,0.0,387200.0,0.5431818181818181,2.958636363636364,1160.3299560546875
2001-04-01,4.4,1649.0,88.4,90.7891,1.0,396750.0,0.907,2.9274999999999998,1249.4599609375
2001-05-01,4.3,1605.0,92.0,90.3555,1.0,394500.0,1.1313636363636363,2.680454545454545,1255.8199462890625
2001-06-01,4.5,1636.0,92.6,89.8784,1.0,397200.0,1.2042857142857142,2.6904761904761907,1224.3800048828125
2001-07-01,4.6,1670.0,92.4,89.3028,1.0,398000.0,1.1976190476190476,2.7338095238095237,1211.22998046875
2001-08-01,4.9,1567.0,91.5,89.2003,1.0,398000.0,1.2139130434782608,2.8773913043478263,1133.5799560546875
2001-09-01,5.0,1562.0,81.8,88.7485,1.0,435000.0,1.6129411764705883,3.2958823529411765,1040.93994140625
2001-10-01,5.3,1540.0,82.7,88.5052,1.0,480750.0,1.8409090909090908,3.3400000000000003,1059.780029296875
2001-11-01,5.5,1602.0,83.9,87.97,1.0,447500.0,1.8690000000000002,3.1614999999999998,1139.449951171875
2001-12-01,5.7,1568.0,88.8,87.9324,0.0,416800.0,1.9805,2.9657894736842105,1148.0799560546875
2002-01-01,5.7,1698.0,93.0,88.5176,0.0,408500.0,2.0076190476190474,2.833809523809524,1130.199951171875
2002-02-01,5.7,1829.0,90.7,88.5278,0.0,399000.0,1.8963157894736842,2.9789473684210526,1106.72998046875
2002-03-01,5.7,1642.0,95.7,89.1686,0.0,415400.0,1.7265000000000001,2.822,1147.3900146484375
2002-04-01,5.9,1592.0,93.0,89.604,0.0,429250.0,1.7881818181818183,2.821818181818182,1076.9200439453125
2002-05-01,5.8,1764.0,96.9,89.964,0.0,409000.0,1.9004545454545456,2.9231818181818183,1067.1400146484375
2002-06-01,5.8,1717.0,92.4,90.7061,0.0,387200.0,1.9335,3.0235,989.8200073242188
2002-07-01,5.8,1655.0,88.1,90.6769,0.0,386000.0,2.096363636363636,3.244545454545454,911.6199951171876
2002-08-01,5.7,1633.0,87.6,90.5762,0.0,393600.0,2.1236363636363635,3.3245454545454547,916.0700073242188
2002-09-01,5.7,1804.0,86.1,90.6531,0.0,409500.0,1.8655000000000002,3.526,815.280029296875
2002-10-01,5.7,1648.0,80.6,90.4643,0.0,407500.0,2.0290909090909093,3.7927272727272725,885.760009765625
2002-11-01,5.9,1753.0,84.2,90.9711,0.0,392200.0,2.125263157894737,3.568947368421053,936.3099975585938
2002-12-01,6.0,1788.0,86.7,90.4652,0.0,414250.0,2.1961904761904765,3.4161904761904758,879.8200073242188
2003-01-01,5.8,1853.0,82.4,91.2361,0.0,395000.0,2.305238095238095,3.2990476190476192,855.7000122070312
2003-02-01,5.9,1629.0,79.9,91.3445,0.0,411000.0,2.274736842105263,3.1542105263157896,841.1500244140625
2003-03-01,5.9,1726.0,77.6,91.1044,0.0,427400.0,2.2333333333333334,3.141904761904762,848.1799926757812
2003-04-01,6.0,1643.0,86.0,90.5617,0.0,436250.0,2.336190476190476,2.894285714285714,916.9199829101562
2003-05-01,6.1,1751.0,92.1,90.537,0.0,424000.0,2.1538095238095236,2.809047619047619,963.5900268554688
2003-06-01,6.3,1867.0,89.7,90.6527,0.0,421750.0,2.107142857142857,2.856190476190476,974.5
2003-07-01,6.2,1897.0,90.9,91.1185,0.0,411500.0,2.5013636363636365,2.640909090909091,990.3099975585938
2003-08-01,6.1,1833.0,89.3,90.9197,0.0,400200.0,2.580952380952381,2.5666666666666664,1008.010009765625
2003-09-01,6.1,1939.0,87.7,91.5059,0.0,395500.0,2.568095238095238,2.5157142857142856,995.969970703125
2003-10-01,6.0,1967.0,89.6,91.6186,0.0,382000.0,2.5427272727272725,2.442272727272727,1050.7099609375
